,시설명,분류,시군구 명칭,위도,경도,지번주소,전화번호,홈페이지,휴무일,운영시간,무료주차 가능여부,유료주차 가능여부,장애인용 출입문,휠체어 대여 가능 여부,장애인 화장실 유무,장애인 전용 주차장 여부,대형주차장 가능여부,시각장애인 안내견 동반 가능 여부,점자 가이드 여부,오디오 가이드(한국어)
0,001스테이지,1,1,37.58153269,127.002336,서울특별시 종로구 동숭동 1-115,02-744-0015,www.00ground.kr/space/reservation,매주 일요일,10:00-19:00,0,0,1,0,1,0,0,1,1,0
1,05스튜디오,2,2,37.78641343,126.698359,경기도 파주시 탄현면 법흥리 1652-384,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
2,072골프훈련소,3,3,37.39403098,126.976543,경기도 안양시 동안구 평촌동 59-1,정보없음,정보없음,정보없음,매일 06:00-23:30,1,1,0,0,0,0,0,0,0,1
3,1004섬수석미술관,2,4,34.8800925,125.996874,전라남도 신안군 자은면 백산리 633-54,061-240-3223,tour.shinan.go.kr/home/tour/theme_tour/theme_tour_17/theme_tour_17_02,매주 월요일,10:00-17:00,0,0,0,0,0,0,0,0,0,0
4,123GC,4,5,37.64140522,126.903049,경기도 고양시 덕양구 동산동 53-124,02-359-0123,www.123golfclub.co.kr/,"매주 월요일, 공휴일","월별 라운딩 TEE-OFF 시간은 홈페이지 참조 골프연습장 05:00-19:00 일몰시간에 따라 변동 가능, 1시간 전 티켓팅 마감",1,0,0,0,0,0,0,0,0,0
5,148아트스퀘어,1,6,36.80700113,128.616142,경상북도 영주시 휴천동 630,054-630-8712,www.yctf.or.kr/bbs/board.php?bo_table=m203,"매주 월요일, 공휴일",09:00-18:00,1,0,1,0,1,1,1,0,1,1
6,153가족캠프,5,7,37.42870998,126.991199,경기도 과천시 중앙동 40-7,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
7,168아트스퀘어,2,8,36.97189318,127.933612,충청북도 충주시 성서동 306,0507-1383-5009,168artsquare.com,정보없음,매일 00:00-24:00 개관일정별도공지,0,0,0,0,0,0,0,0,0,0
8,1987박종철기념관,2,9,37.46938355,126.938152,서울특별시 관악구 신림동 241-13,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
9,1박2일 녹수다리 유원지,5,10,37.76365653,127.392225,경기도 가평군 상면 덕현리 368,정보없음,정보없음,정보없음,정보없음,1,0,0,0,0,0,0,1,0,0
10,1MSPACE,1,11,37.55760078,126.938198,서울특별시 서대문구 창천동 13-21,정보없음,theaterplot.oopy.io/,정보없음,정보없음,1,0,0,0,0,0,0,1,0,0
11,2.28민주운동기념회관,2,12,35.85840431,128.590354,대구광역시 중구 남산동 2113-10,053-257-2280,library.daegu.go.kr/228lib/index.do,매주 월요일,"화-금 09:00-19:00, 주말 09:00-17:00",1,0,0,0,1,1,0,0,0,0
12,2001아울렛 구로 어린이 소극장,1,13,37.49807255,126.862677,서울특별시 구로구 고척동 76-41,02-2093-5093,2001gurohall.modoo.at,매주 월요일,10:00-22:00,1,1,1,0,1,1,0,1,1,0
13,2012농어촌산업박람회,2,14,37.66893348,126.745803,경기도 고양시 일산서구 대화동 2600,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
14,2012명품병원의료관광전시회,2,14,37.66469545,126.742064,경기도 고양시 일산서구 대화동 2700,정보없음,정보없음,정보없음,정보없음,0,0,0,0,0,0,0,0,0,0
15,2012여수세계박람회재단,2,15,34.75218956,127.746501,전라남도 여수시 덕충동 2005,1577-2012,www.expo2012.kr/web/,정보없음,정보없음,1,1,0,0,0,1,1,0,0,0
16,24시골프,3,16,37.44850127,126.787247,경기도 시흥시 대야동 333-19,정보없음,www.sjoy.co.kr/,정보없음,"매일 1층-스페셜조이피팅 12:00-24:00 , 2층-24스크린골프 10:00-21:00",1,0,0,0,0,0,0,0,0,1
